year,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省
2005,7149.8,3158.6,8773.4,4079.4,3523.7,7260.8,2776.5,2715.3,4756.4,9197.1,18121.3
2006,8387,3538.2,10043,4713.6,4161.8,8390.3,3226.5,5329.8,10598.9,21240.8,15302.7
2007,10425.5,4158.4,12152.9,5935.6,5166.9,10292.2,4080.3,6126.3,12878.7,25988.4,18640
2008,11813.1,5182.4,14200.1,7223,6242.4,12137.7,4834.7,7134.2,14536.9,30945.5,21284.6
2009,12900.9,5709.6,15306.9,7147.6,7104.2,12815.7,5434.8,7218.9,15742.4,34471.7,22833.7
2010,14964,6830.8,18003.6,8903.9,8199.9,13896.3,6410.5,8308.3,17915.4,41383.9,27399.9
2011,17188.8,8112.5,21384.7,10894.4,9458.1,16354.9,7734.6,9935,20009.7,48839.2,31854.8
2012,19024.7,9043,23077.5,11683.1,10470.1,17848.6,8678,11015.8,21305.6,53701.9,34382.4
2013,21134.6,9945.4,24259.6,11987.2,11392.4,19208.8,9427.9,11849.1,23204.1,59349.4,37334.6
2014,22926,10640.6,25208.9,12094.7,12158.2,20025.7,9966.5,12170.8,25269.8,64830.5,40023.5
2015,24779.1,10879.5,26398.4,11836.4,12949,20210.3,10018,11690,26887,71255.9,43507.7
2016,27041.2,11477.2,28474.1,11946.4,13789.3,20392.5,10427,11895,29887,77350.9,47254
2017,29883,12450.6,30640.8,14484.3,14898.1,21693,10922,12313,32925,85869.8,52403.1
2018,33106,13362.9,32494.6,15958.1,16140.8,23510.5,11253.8,12846.5,36011.8,93207.6,58002.8
2019,35445.1,14055.5,34978.6,16961.6,17212.5,24855.3,11726.8,13544.4,37987.6,98656.8,62462
2020,35943.3,14008,36013.8,17835.6,17258,25011.4,12256,13633.4,38963.3,10280.7,64689.1
2021,41045.6,15685.1,40397.1,22870.4,21166,27569.5,13163.8,14858.2,43653.2,117392.4,74040.8
2022,41540.9,16132.2,41988,25583.9,23388.9,28826.1,12818.1,15831.5,44809.1,122089.3,78060.6
2023,43760.7,16737.3,43944.1,25698.2,24627,30209.4,13531.2,15883.9,47218.7,128222.2,82553.2
