城市,企业总数
天津,9329
北京,1463
深圳市,1199
杭州市,781
成都市,542
广州市,514
海口市,458
武汉市,386
西安市,365
济南市,354
青岛市,348
重庆,318
苏州市,318
南京市,310
厦门市,292
郑州市,280
宁波市,277
福州市,266
太原市,232
上海,209
合肥市,202
贵阳市,201
昆明市,197
泉州市,187
三亚市,181
海南省,180
温州市,166
南宁市,155
临沂市,153
沈阳市,139
长沙市,136
南昌市,132
无锡市,126
乌鲁木齐市,119
潍坊市,113
湖州市,110
大连市,110
兰州市,108
佛山市,108
威海市,104
珠海市,104
常州市,102
烟台市,99
泰安市,93
济宁市,90
洛阳市,88
十堰市,82
赣州市,81
东莞市,80
长春市,79
惠州市,78
九江市,77
荆州市,75
忻州市,74
盐城市,73
绍兴市,71
镇江市,68
银川市,67
金华市,66
南通市,65
宜昌市,64
江门市,61
徐州市,60
大理白族自治州,59
黔东南苗族侗族自治州,58
衢州市,58
嘉兴市,57
泰州市,56
临汾市,56
遵义市,56
哈尔滨市,55
黄山市,55
上饶市,55
日照市,54
六安市,53
淄博市,53
石家庄市,52
龙岩市,50
淮安市,50
唐山市,50
恩施土家族苗族自治州,47
丽江市,47
漳州市,46
三明市,46
宁德市,45
南阳市,44
中山市,44
安阳市,44
绵阳市,44
桂林市,44
伊犁哈萨克自治州,43
吉安市,43
信阳市,43
丽水市,42
黄冈市,42
晋中市,41
宜春市,41
扬州市,41
汉中市,41
西双版纳傣族自治州,40
聊城市,40
滁州市,39
铜仁市,39
黔南布依族苗族自治州,38
新乡市,38
西宁市,38
拉萨市,38
安顺市,38
安庆市,37
张家口市,37
襄阳市,36
开封市,35
酒泉市,34
莆田市,33
枣庄市,33
梅州市,33
滨州市,32
南平市,32
临沧市,31
抚州市,31
台州市,30
大同市,30
菏泽市,30
曲靖市,30
宝鸡市,29
凉山彝族自治州,29
雅安市,29
毕节市,29
肇庆市,29
荆门市,29
咸宁市,28
榆林市,28
文山壮族苗族自治州,27
河源市,27
黄石市,27
呼和浩特市,26
湛江市,26
保定市,26
乐山市,26
阜阳市,25
德州市,25
平顶山市,25
舟山市,25
柳州市,24
韶关市,24
晋城市,24
萍乡市,23
保山市,23
宿州市,23
丹东市,23
宜宾市,23
宿迁市,23
邯郸市,22
清远市,22
泸州市,22
广元市,22
德阳市,22
阿克苏地区,22
周口市,22
渭南市,22
芜湖市,22
三门峡市,22
阿坝藏族羌族自治州,22
汕头市,21
张掖市,21
延边朝鲜族自治州,20
鄂尔多斯市,20
孝感市,20
池州市,20
玉树藏族自治州,20
甘南藏族自治州,20
焦作市,20
景德镇市,20
白山市,19
六盘水市,19
连云港市,19
安康市,19
宣城市,19
阿勒泰地区,19
红河哈尼族彝族自治州,19
新疆维吾尔自治区,19
汕尾市,19
眉山市,19
达州市,19
巴中市,18
秦皇岛市,18
南充市,18
临夏回族自治州,18
咸阳市,17
东营市,17
郴州市,17
延安市,17
河池市,16
葫芦岛市,16
商洛市,16
儋州市,16
梧州市,15
昌吉回族自治州,15
四平市,15
茂名市,15
北海市,15
楚雄彝族自治州,15
广安市,15
普洱市,15
甘孜藏族自治州,14
喀什地区,14
黔西南布依族苗族自治州,14
商丘市,14
吉林市,14
衡水市,14
鹰潭市,14
和田地区,14
随州市,14
岳阳市,14
吕梁市,14
自贡市,14
株洲市,13
衡阳市,13
巴音郭楞蒙古自治州,13
通化市,13
包头市,13
玉溪市,13
钦州市,13
昭通市,13
驻马店市,13
朔州市,13
营口市,13
蚌埠市,12
锡林郭勒盟,12
哈密市,12
鞍山市,12
阳江市,12
淮北市,12
许昌市,11
铜川市,11
怀化市,11
廊坊市,11
防城港市,11
运城市,11
沧州市,11
娄底市,11
新余市,10
铜陵市,10
松原市,10
濮阳市,10
益阳市,10
鄂州市,10
庆阳市,10
武威市,10
迪庆藏族自治州,10
贵港市,9
鹤壁市,9
陇南市,9
湘潭市,9
长治市,9
邢台市,9
文昌市,9
锦州市,9
抚顺市,8
德宏傣族景颇族自治州,8
张家界市,8
马鞍山市,8
白银市,8
林芝市,8
天水市,8
常德市,8
承德市,8
湘西土家族苗族自治州,8
朝阳市,8
永州市,8
呼伦贝尔市,7
博尔塔拉蒙古自治州,7
百色市,7
阳泉市,7
通辽市,7
山南市,7
漯河市,7
潮州市,7
铁岭市,7
阜新市,7
大庆市,7
怒江傈僳族自治州,7
赤峰市,7
崇左市,7
亳州市,6
齐齐哈尔市,6
遂宁市,6
巴彦淖尔市,6
海北藏族自治州,6
云浮市,6
来宾市,6
定西市,6
邵阳市,6
攀枝花市,6
揭阳市,6
盘锦市,6
克孜勒苏柯尔克孜自治州,5
贺州市,5
海南藏族自治州,5
玉林市,5
海东市,5
昌都市,5
淮南市,5
嘉峪关市,5
内江市,5
黄南藏族自治州,5
吐鲁番市,4
辽源市,4
石嘴山市,4
海西蒙古族藏族自治州,4
平凉市,4
乌兰察布市,4
白城市,4
阿拉善盟,4
中卫市,3
果洛藏族自治州,3
克拉玛依市,3
塔城地区,3
本溪市,3
辽阳市,3
鸡西市,3
日喀则市,2
牡丹江市,2
固原市,2
佳木斯市,2
那曲市,2
绥化市,2
吴忠市,2
金昌市,2
阿拉尔市,2
资阳市,2
天门市,2
济源市,1
阿里地区,1
图木舒克市,1
新星市,1
大兴安岭地区,1
仙桃市,1
潜江市,1
伊春市,1
琼海市,1
东方市,1
黑河市,1
